n_iter,feedin_atnode_loss_kW,demand_atnode_kW,feedin_atnode_kW,TotalPower,n_EGID_pvinst,ratio_EGID_pvinst,scen
7,247097.4241,401228263,51458691.78,20004.91338,2687,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
8,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
9,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
10,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
11,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
12,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
13,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
14,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
15,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
16,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
17,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
18,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
19,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
20,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
21,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
22,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
23,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
24,638750.7993,390072132.9,61570179.09,0,0,0.866799205,pvalloc_29nbfs_LRG2_max_1hll_sBs0p8
